,RMSE,R²,MAE,MAPE (%),Accuracy (%)
Linear Regression,67110.78647468306,0.6706546164387603,48464.56823374078,28.13598540107159,71.8640145989284
Ridge Regression,67066.31431446574,0.6710909650046146,48440.16678390938,28.12172774226281,71.8782722577372
Lasso Regression,67110.14643590174,0.6706608983741638,48464.24262702965,28.135754056739255,71.86424594326074
